Sample_ID,Resistance,Clade
ST11_01,Resistant,ST11
ST11_02,Resistant,ST11
ST11_03,Resistant,ST11
ST11_04,Resistant,ST11
ST11_05,Resistant,ST11
ST11_06,Susceptible,ST11
ST11_07,Resistant,ST11
ST11_08,Susceptible,ST11
ST11_09,Resistant,ST11
ST11_10,Susceptible,ST11
ST11_11,Resistant,ST11
ST11_12,Resistant,ST11
ST11_13,Resistant,ST11
ST131_01,Susceptible,ST131
ST131_02,Susceptible,ST131
ST131_03,Susceptible,ST131
ST131_04,Resistant,ST131
ST131_05,Susceptible,ST131
ST131_06,Susceptible,ST131
ST131_07,Resistant,ST131
ST131_08,Susceptible,ST131
ST131_09,Resistant,ST131
ST131_10,Resistant,ST131
ST131_11,Resistant,ST131
ST131_12,Susceptible,ST131
ST10_01,Resistant,ST10
ST10_02,Resistant,ST10
ST10_03,Susceptible,ST10
ST10_04,Resistant,ST10
ST10_05,Susceptible,ST10
ST10_06,Susceptible,ST10
ST10_07,Resistant,ST10
ST10_08,Resistant,ST10
ST10_09,Susceptible,ST10
ST10_10,Resistant,ST10
ST10_11,Resistant,ST10
ST10_12,Resistant,ST10
ST73_01,Resistant,ST73
ST73_02,Susceptible,ST73
ST73_03,Susceptible,ST73
ST73_04,Susceptible,ST73
ST73_05,Resistant,ST73
ST73_06,Susceptible,ST73
ST73_07,Susceptible,ST73
ST73_08,Resistant,ST73
ST73_09,Susceptible,ST73
ST73_10,Susceptible,ST73
ST95_01,Susceptible,ST95
ST95_02,Resistant,ST95
ST95_03,Resistant,ST95
ST95_04,Susceptible,ST95
ST95_05,Susceptible,ST95
ST95_06,Susceptible,ST95
ST95_07,Susceptible,ST95
ST95_08,Susceptible,ST95
ST95_09,Susceptible,ST95
